InvoiceDate,BillingAddress,BillingCity,Total
2009-02-03 00:00:00,3 Chatham Street,Dublin,5.94
2009-03-14 00:00:00,"8, Rue Hanovre",Paris,13.86
2009-07-11 00:00:00,Rilská 3174/6,Prague,8.91
2009-11-12 00:00:00,"8, Rue Hanovre",Paris,8.91
2010-03-12 00:00:00,Klanova 9/506,Prague,3.96
2010-04-12 00:00:00,"68, Rue Jouvence",Dijon,3.96
2010-06-14 00:00:00,Klanova 9/506,Prague,5.94
2010-07-14 00:00:00,"4, Rue Milton",Paris,3.96
2010-07-15 00:00:00,"68, Rue Jouvence",Dijon,5.94
2010-07-23 00:00:00,"12,Community Centre",Delhi,13.86
2010-10-15 00:00:00,"Rua dos Campeões Europeus de Viena, 4350",Porto,3.96
2010-10-16 00:00:00,"4, Rue Milton",Paris,5.94
2011-01-17 00:00:00,"Rua dos Campeões Europeus de Viena, 4350",Porto,5.94
2011-03-23 00:00:00,"12,Community Centre",Delhi,8.91
2011-04-28 00:00:00,3 Chatham Street,Dublin,21.86
2011-05-20 00:00:00,Rilská 3174/6,Prague,3.96
2011-06-06 00:00:00,"4, Rue Milton",Paris,1.99
2011-06-19 00:00:00,"8, Rue Hanovre",Paris,2.98
2011-08-22 00:00:00,Rilská 3174/6,Prague,5.94
2011-09-21 00:00:00,"8, Rue Hanovre",Paris,3.96
2011-12-24 00:00:00,"8, Rue Hanovre",Paris,5.94
2011-12-27 00:00:00,3 Chatham Street,Dublin,8.91
2012-09-05 00:00:00,Klanova 9/506,Prague,16.86
2012-10-06 00:00:00,"68, Rue Jouvence",Dijon,16.86
2013-01-07 00:00:00,"4, Rue Milton",Paris,13.86
2013-01-29 00:00:00,"12,Community Centre",Delhi,3.96
2013-04-10 00:00:00,"Rua dos Campeões Europeus de Viena, 4350",Porto,13.86
2013-05-03 00:00:00,"12,Community Centre",Delhi,5.94
2013-05-06 00:00:00,Klanova 9/506,Prague,8.91
2013-06-06 00:00:00,"68, Rue Jouvence",Dijon,8.91
2013-09-07 00:00:00,"4, Rue Milton",Paris,8.91
2013-11-04 00:00:00,3 Chatham Street,Dublin,3.96
2013-11-13 00:00:00,Rilská 3174/6,Prague,25.86
2013-12-09 00:00:00,"Rua dos Campeões Europeus de Viena, 4350",Porto,8.91
2013-12-22 00:00:00,"12,Community Centre",Delhi,1.99
