InvoiceDate,BillingAddress,BillingCity,Total,PurchaseType
2011-11-01 00:00:00,,,1000.86,Top Performer
2009-05-10 00:00:00,Lijnbaansgracht 120bg,Amsterdam,8.91,Target Purchase
2010-12-15 00:00:00,Lijnbaansgracht 120bg,Amsterdam,1.98,Baseline Purchase
2011-03-19 00:00:00,Lijnbaansgracht 120bg,Amsterdam,3.96,Low Purchase
2011-06-21 00:00:00,Lijnbaansgracht 120bg,Amsterdam,8.94,Target Purchase
2012-02-09 00:00:00,Lijnbaansgracht 120bg,Amsterdam,0.99,Baseline Purchase
2013-08-02 00:00:00,Lijnbaansgracht 120bg,Amsterdam,1.98,Baseline Purchase
2013-09-12 00:00:00,Lijnbaansgracht 120bg,Amsterdam,13.86,Target Purchase
2009-04-05 00:00:00,"3,Raj Bhavan Road",Bangalore,3.96,Low Purchase
2009-07-08 00:00:00,"3,Raj Bhavan Road",Bangalore,5.94,Low Purchase
2010-02-26 00:00:00,"3,Raj Bhavan Road",Bangalore,1.99,Baseline Purchase
2011-08-20 00:00:00,"3,Raj Bhavan Road",Bangalore,1.98,Baseline Purchase
2011-09-30 00:00:00,"3,Raj Bhavan Road",Bangalore,13.86,Target Purchase
2012-05-30 00:00:00,"3,Raj Bhavan Road",Bangalore,8.91,Target Purchase
2009-02-01 00:00:00,Barbarossastraße 19,Berlin,1.98,Baseline Purchase
2009-05-05 00:00:00,Tauentzienstraße 8,Berlin,1.98,Baseline Purchase
2009-05-06 00:00:00,Barbarossastraße 19,Berlin,3.96,Low Purchase
2009-06-15 00:00:00,Tauentzienstraße 8,Berlin,13.86,Target Purchase
2009-08-08 00:00:00,Barbarossastraße 19,Berlin,5.94,Low Purchase
2010-02-13 00:00:00,Tauentzienstraße 8,Berlin,8.91,Target Purchase
2010-03-29 00:00:00,Barbarossastraße 19,Berlin,0.99,Baseline Purchase
2011-09-20 00:00:00,Tauentzienstraße 8,Berlin,1.98,Baseline Purchase
2011-09-20 00:00:00,Barbarossastraße 19,Berlin,1.98,Baseline Purchase
2011-10-31 00:00:00,Barbarossastraße 19,Berlin,13.86,Target Purchase
2011-12-23 00:00:00,Tauentzienstraße 8,Berlin,3.96,Low Purchase
2012-03-26 00:00:00,Tauentzienstraße 8,Berlin,5.94,Low Purchase
2012-06-30 00:00:00,Barbarossastraße 19,Berlin,8.91,Target Purchase
2012-11-14 00:00:00,Tauentzienstraße 8,Berlin,0.99,Baseline Purchase
2009-02-02 00:00:00,"9, Place Louis Barthou",Bordeaux,3.96,Low Purchase
